sl_no,vehicle_name,buying_price,selling_price,make_year,vehicle_age,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage
5414,Skoda Rapid 1.6 MPI Ambition,893000,720000,2017,3,Dealer,30000,First Owner,Petrol,Manual,15
5415,Ford Figo Diesel ZXI,875000,265000,2014,6,Dealer,58187,First Owner,Diesel,Manual,20
5416,Hyundai i20 Sportz 1.4 CRDi,926000,390000,2013,7,Individual,65000,First Owner,Diesel,Manual,21.9
5417,Hyundai i20 Sportz 1.4 CRDi,926000,320000,2013,7,Individual,100000,First Owner,Diesel,Manual,21.9
5418,Toyota Innova Crysta 2016-2020 2.4 VX MT 8S BSIV,1888000,1546000,2017,3,Individual,85000,First Owner,Diesel,Manual,13.68
5419,Honda Amaze VX i-VTEC,706000,440000,2017,3,Individual,85000,First Owner,Petrol,Manual,17.8
5420,Maruti Swift VXI Glory Limited Edition,631000,450000,2016,4,Individual,60000,First Owner,Petrol,Manual,20.4
5421,Maruti Baleno Zeta 1.2,669000,560000,2018,2,Individual,50000,First Owner,Petrol,Manual,21.4
5422,Hyundai i20 2015-2017 Asta Option 1.4 CRDi,944000,750000,2016,4,Dealer,48000,First Owner,Diesel,Manual,22.54
5423,Maruti Celerio VXI,503000,385000,2016,4,Dealer,35000,First Owner,Petrol,Manual,23.1
5424,Hyundai Creta 1.4 CRDi S,1149000,770000,2016,4,Individual,121054,First Owner,Diesel,Manual,21.38
5425,Ford Freestyle Titanium Plus Petrol BSIV,693000,725000,2018,2,Individual,20000,First Owner,Petrol,Manual,19
5426,BMW X1 sDrive20d,4926000,1150000,2010,10,Dealer,106271,First Owner,Diesel,Automatic,17.05
5427,Maruti Wagon R VXI,517000,360000,2016,4,Individual,11799,First Owner,Petrol,Manual,20.51
5428,Tata Tiago 1.2 Revotron XZ Plus Dual Tone,564000,555000,2019,1,Individual,11000,First Owner,Petrol,Manual,23.84
5429,Maruti Swift VXI 2018,624000,550000,2018,2,Individual,26000,First Owner,Petrol,Manual,22
5430,BMW 5 Series 520d Sport Line,7384999,4200000,2017,3,Dealer,44000,First Owner,Diesel,Automatic,22.48
5431,Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,658000,599000,2018,2,Dealer,19000,First Owner,Petrol,Manual,18.78
5432,Maruti Swift VXI,613000,590000,2019,1,Individual,17600,First Owner,Petrol,Manual,21.21
5433,Hyundai Grand i10 1.2 Kappa Sportz AT,684000,575000,2018,2,Individual,26800,First Owner,Petrol,Automatic,18.9
5434,Hyundai Santro Sportz AMT,533000,545000,2019,1,Dealer,25000,First Owner,Petrol,Automatic,20.3
5435,Hyundai i20 Magna,770000,640000,2020,0,Individual,20000,First Owner,Petrol,Manual,20.35
5436,Tata Harrier XZ BSIV,1630000,1750000,2019,1,Individual,20000,First Owner,Diesel,Manual,17
5437,Mercedes-Benz GLS 2016-2020 350d Grand Edition,127000,7000000,2017,3,Dealer,37000,First Owner,Diesel,Automatic,11
5438,Tata Tiago 1.2 Revotron XT,553000,360000,2018,2,Individual,60000,First Owner,Petrol,Manual,23.84
5439,Honda Amaze E i-DTEC,848000,409999,2017,3,Individual,100000,First Owner,Diesel,Manual,25.8
5440,Ford Figo 1.5D Trend MT,875000,500000,2015,5,Dealer,76416,First Owner,Diesel,Manual,25.83
5441,Ford Ecosport 1.5 DV5 MT Titanium,994999,525000,2014,6,Dealer,38125,First Owner,Diesel,Manual,22.7
5442,Honda Civic 1.8 V AT Sunroof,2012000,600000,2012,8,Individual,80000,First Owner,Petrol,Automatic,13.9
5443,Maruti Swift VXI BSIV,631000,640000,2020,0,Dealer,10000,First Owner,Petrol,Manual,22
5444,Mahindra XUV500 W11 Option BSIV,1664999,1700000,2019,1,Individual,10000,First Owner,Diesel,Manual,15.1
5445,Hyundai Verna VTVT 1.6 SX,1054000,925000,2018,2,Trustmark Dealer,21734,First Owner,Petrol,Manual,17
5446,Hyundai i20 Sportz 1.2,802999,530000,2016,4,Dealer,35000,First Owner,Petrol,Manual,18.6
5447,Ford Ecosport 2015-2021 1.5 Petrol Trend Plus AT BSIV,919000,850000,2017,3,Dealer,35000,First Owner,Petrol,Automatic,14.8
5448,Tata Harrier XZ Dark Edition BSIV,1602000,1650000,2019,1,Dealer,17000,First Owner,Diesel,Manual,17
5449,Maruti Wagon R LXI,512000,295000,2014,6,Individual,40000,First Owner,Petrol,Manual,20.51
5450,Mahindra XUV500 W6 2WD,1654000,1075000,2017,3,Dealer,34000,First Owner,Diesel,Manual,16
5451,Ford Ecosport 1.5 DV5 MT Titanium,1014000,590000,2015,5,Dealer,50000,First Owner,Diesel,Manual,22.7
5452,Ford Ecosport 1.5 DV5 MT Ambiente,1007000,415000,2014,6,Dealer,64000,First Owner,Diesel,Manual,22.7
5453,Hyundai Venue SX Opt Diesel BSIV,978999,1099000,2019,1,Dealer,12000,First Owner,Diesel,Manual,23.7
5454,Maruti Swift Dzire VXi AT,653000,395000,2012,8,Dealer,66581,First Owner,Petrol,Automatic,17.4
5455,Honda City 1.5 V AT,1268000,331000,2010,10,Dealer,72000,First Owner,Petrol,Automatic,16.8
5456,Maruti Baleno Zeta Automatic,668000,790000,2019,1,Dealer,10000,First Owner,Petrol,Automatic,21.4
5457,Honda WR-V i-VTEC VX,961999,875000,2019,1,Dealer,10000,First Owner,Petrol,Manual,17.5
5458,Hyundai i20 1.2 Magna,770000,290000,2012,8,Dealer,60000,First Owner,Petrol,Manual,18.5
5459,Honda Civic 1.8 V MT,2035000,260000,2008,12,Dealer,73235,First Owner,Petrol,Manual,13.5
5460,BMW 3 Series 320i,5007000,800000,2012,8,Individual,41500,First Owner,Petrol,Automatic,12.05
5461,Maruti Swift VXI,604000,340000,2012,8,Dealer,62000,First Owner,Petrol,Manual,18.6
5462,Maruti Baleno Delta 1.2,668000,570000,2017,3,Individual,44000,First Owner,Petrol,Manual,21.4
5463,Ford Ecosport 2015-2021 1.5 Diesel Titanium,1007000,560000,2014,6,Dealer,46412,First Owner,Diesel,Manual,21.7
5464,Tata Nexon 1.2 Revotron XZA Plus,848000,850000,2019,1,Individual,15000,First Owner,Petrol,Automatic,17
5465,Toyota Fortuner 4x4 AT,3997000,1249000,2013,7,Dealer,82000,First Owner,Diesel,Automatic,12.55
5466,Maruti Eeco CNG 5 Seater AC BSIV,582000,380000,2018,2,Individual,35000,First Owner,CNG,Manual,21.94
5467,Mahindra Thar 4X4,1475000,436000,2012,8,Dealer,18053,First Owner,Diesel,Manual,16.55
5468,Hyundai i20 Magna 1.4 CRDi,960000,422000,2015,5,Individual,60000,First Owner,Diesel,Manual,22.54
5469,Maruti Wagon R AMT VXI,526000,484999,2018,2,Trustmark Dealer,3944,First Owner,Petrol,Automatic,20.51
5470,Mahindra XUV500 W10 AWD,1654000,950000,2015,5,Dealer,68000,First Owner,Diesel,Manual,16
5471,Mercedes-Benz C-Class C 200 Avantgarde Edition C,4762000,1250000,2013,7,Dealer,29000,First Owner,Petrol,Automatic,14.74
5472,Honda City i DTec V,1479000,590000,2016,4,Dealer,61225,First Owner,Diesel,Manual,26
5473,Mercedes-Benz GLS 2016-2020 400 4MATIC,120000,6950000,2018,2,Dealer,28000,First Owner,Petrol,Automatic,8.9
5474,BMW 3 Series 320d Prestige,5061000,1155000,2013,7,Dealer,83000,First Owner,Diesel,Automatic,18.88
5475,Maruti Swift Dzire VXI,653000,500000,2015,5,Dealer,40000,First Owner,Petrol,Manual,20.85
5476,Honda Amaze S AT i-Vtech,704000,525000,2017,3,Dealer,45000,First Owner,Petrol,Automatic,15.5
5477,Honda City i DTec V,1400000,599000,2016,4,Dealer,48000,First Owner,Diesel,Manual,26
5478,Hyundai i20 Magna 1.2,802999,480000,2015,5,Trustmark Dealer,42101,First Owner,Petrol,Manual,18.6
5479,Toyota Innova Crysta 2016-2020 2.7 VX MT BSIV,1980000,1427000,2017,3,Dealer,53400,First Owner,Petrol,Manual,11.25
5480,Hyundai Verna VTVT 1.6 AT SX Plus,1054000,1075000,2018,2,Dealer,40000,First Owner,Petrol,Automatic,17
5481,Toyota Glanza V,828999,835000,2019,1,Dealer,10000,First Owner,Petrol,Manual,21.01
5482,Honda City i VTEC VX Option,1268000,890000,2017,3,Dealer,48000,First Owner,Petrol,Manual,17.8
5483,Kia Carnival Prestige 9 STR,2962000,3000000,2020,0,Dealer,3000,First Owner,Diesel,Automatic,14.11
5484,Hyundai i20 Sportz 1.2,802999,490000,2015,5,Dealer,68237,First Owner,Petrol,Manual,18.6
5485,Maruti Baleno Zeta CVT,668000,690000,2017,3,Dealer,33000,First Owner,Petrol,Automatic,19.56
5486,Maruti Swift LXI,604000,480000,2019,1,Individual,6500,First Owner,Petrol,Manual,21.21
5487,BMW 3 Series 320d Luxury Line,5061000,2500000,2017,3,Dealer,26000,First Owner,Diesel,Automatic,19.62
5488,Hyundai i20 1.2 Asta,802999,580000,2017,3,Individual,100000,First Owner,Petrol,Manual,18.6
5489,Honda Amaze S i-Vtech,704000,395000,2015,5,Dealer,36000,First Owner,Petrol,Manual,18
5490,Toyota Fortuner 4x2 AT,3997000,1175000,2012,8,Dealer,100000,First Owner,Diesel,Automatic,12.55
5491,Porsche Cayenne Turbo,13700000,2000000,2009,11,Individual,126000,First Owner,Petrol,Automatic,8.5
5492,Maruti Wagon R CNG LXI BSIV,599000,470000,2019,1,Dealer,19022,First Owner,CNG,Manual,33.54
5493,Maruti Wagon R VXI,511000,150000,2009,11,Dealer,60000,First Owner,Petrol,Manual,21.79
5494,Honda Civic 1.8 V MT,2084000,235000,2009,11,Dealer,62000,First Owner,Petrol,Manual,13.5
5495,Maruti Eeco 5 STR With AC Plus HTR CNG,582000,291000,2016,4,Dealer,51000,First Owner,CNG,Manual,15.1
5496,Maruti Wagon R AMT VXI,511000,380000,2015,5,Dealer,48000,First Owner,Petrol,Automatic,20.51
5497,Mercedes-Benz C-Class Progressive C 220d,5130000,4000000,2020,0,Dealer,10000,First Owner,Diesel,Automatic,12.6
5498,Ford Ecosport 1.5 DV5 MT Titanium Optional,1014000,438000,2014,6,Dealer,104643,First Owner,Diesel,Manual,22.7
5499,Tata Tigor 1.2 Revotron XT,650000,495000,2018,2,Individual,30000,First Owner,Petrol,Manual,20.3
5500,Maruti Wagon R ZXI AMT 1.2BSIV,526000,540000,2019,1,Trustmark Dealer,8873,First Owner,Petrol,Automatic,21.5
5501,Mahindra XUV500 AT W6 1.99 mHawk,1654000,1290000,2018,2,Dealer,17000,First Owner,Diesel,Automatic,16
5502,Hyundai i20 Magna Optional 1.4 CRDi,974000,349000,2013,7,Dealer,48000,First Owner,Diesel,Manual,21.9
5503,Mahindra Bolero 2011-2019 ZLX,891000,685000,2017,3,Dealer,32000,First Owner,Diesel,Manual,15.96
5504,Skoda Superb Elegance 1.8 TSI AT,3536999,585000,2012,8,Dealer,62000,First Owner,Petrol,Automatic,13.7
5505,Volkswagen Polo 1.2 MPI Comfortline,700000,400000,2014,6,Dealer,28492,First Owner,Petrol,Manual,16.47
5506,Honda City i VTEC CVT VX,1268000,815000,2016,4,Dealer,78000,First Owner,Petrol,Automatic,18
5507,Hyundai Creta 1.6 SX Automatic Diesel,1237000,1155000,2017,3,Individual,34500,First Owner,Diesel,Automatic,17.6
5508,Honda WR-V i-VTEC VX,960000,750000,2017,3,Dealer,34000,First Owner,Petrol,Manual,17.5
5509,Hyundai i20 1.4 Asta Option,926000,625000,2017,3,Individual,80000,First Owner,Diesel,Manual,22.54
5510,BMW 3 Series 320d M Sport,5061000,1889999,2015,5,Dealer,45000,First Owner,Diesel,Automatic,22.69
5511,Hyundai i20 1.4 CRDi Magna,974000,295000,2013,7,Dealer,58000,First Owner,Diesel,Manual,21.9
5512,Maruti Wagon R VXI,526000,320000,2013,7,Dealer,58000,First Owner,Petrol,Manual,20.51
5513,Skoda Octavia Elegance 1.8 TSI AT,4151000,780000,2013,7,Dealer,76000,First Owner,Petrol,Automatic,14.7
5514,Hyundai Verna 1.6 SX,1281000,495000,2014,6,Dealer,71000,First Owner,Diesel,Manual,22.32
5515,Ford Ecosport 2015-2021 1.5 Petrol Titanium Plus,919000,990000,2019,1,Dealer,18000,First Owner,Petrol,Manual,15.9
5516,Hyundai Creta 1.6 VTVT SX Plus,1158000,890000,2016,4,Dealer,36000,First Owner,Petrol,Manual,13
5517,Honda Amaze S i-Dtech,877000,388000,2015,5,Dealer,66000,First Owner,Diesel,Manual,25.8
5518,BMW 3 Series 320d Prestige,4928000,1170000,2013,7,Dealer,83000,First Owner,Diesel,Automatic,18.88
5519,Hyundai i20 1.2 Asta Option,802999,650000,2017,3,Trustmark Dealer,28810,First Owner,Petrol,Manual,18.6
5520,Hyundai Creta 1.6 SX Option,1158000,900000,2016,4,Dealer,33000,First Owner,Petrol,Manual,15.8
5521,Honda City 1.5 S MT,1268000,280000,2010,10,Individual,80000,First Owner,Petrol,Manual,17
5522,Maruti Swift Dzire VXi,674000,220000,2009,11,Dealer,58000,First Owner,Petrol,Manual,17.5
5523,Audi Q7 2006-2020 45 TDI Quattro Premium Plus,8059999,6800000,2020,0,Dealer,4000,First Owner,Diesel,Automatic,14.75
5524,Maruti Swift VVT VXI,604000,385000,2014,6,Dealer,29052,First Owner,Petrol,Manual,22
5525,Maruti Baleno Zeta 1.2,669000,615000,2017,3,Dealer,38000,First Owner,Petrol,Manual,21.4
5526,Hyundai Grand i10 1.2 Kappa Asta,648000,495000,2017,3,Dealer,25000,First Owner,Petrol,Manual,18.9
5527,Hyundai Verna 1.6 CRDi AT SX,1281000,650000,2015,5,Individual,80000,First Owner,Diesel,Automatic,19.08
5528,Ford Ecosport 1.5 DV5 MT Trend,1014000,525000,2015,5,Dealer,58000,First Owner,Diesel,Manual,22.7
5529,Honda Jazz 1.2 VX i VTEC,851000,500000,2016,4,Individual,26000,First Owner,Petrol,Manual,18.7
5530,Honda City 1.5 S MT,1268000,420000,2012,8,Dealer,47000,First Owner,Petrol,Manual,17
5531,Maruti Wagon R LXI Optional,526000,300000,2014,6,Dealer,58000,First Owner,Petrol,Manual,20.51
5532,Maruti Swift VXi BSIV,624000,409999,2011,9,Individual,30000,First Owner,Petrol,Manual,16.1
5533,Mahindra Scorpio S5 BSIV,1519000,1175000,2019,1,Dealer,41000,First Owner,Diesel,Manual,16.36
5534,Honda City i VTEC SV,1268000,625000,2014,6,Dealer,53000,First Owner,Petrol,Manual,17.8
5535,Mahindra Scorpio LX,1519000,500000,2013,7,Dealer,66000,First Owner,Diesel,Manual,12.05
5536,Ford Ecosport 2015-2021 S Diesel BSIV,1014000,1100000,2019,1,Individual,40000,First Owner,Diesel,Manual,23
5537,Ford Aspire 1.5 TDCi Titanium,972000,490000,2015,5,Dealer,41000,First Owner,Diesel,Manual,25.83
5538,Mahindra XUV500 AT W6 1.99 mHawk,1654000,1175000,2017,3,Dealer,18000,First Owner,Diesel,Automatic,16
5539,Maruti Swift AMT VXI,604000,635000,2019,1,Individual,7200,First Owner,Petrol,Automatic,21.21
5540,Hyundai i20 1.2 Magna,802999,225000,2010,10,Dealer,57000,First Owner,Petrol,Manual,18.5
5541,Mahindra XUV500 W8 2WD,1654000,810000,2015,5,Dealer,63000,First Owner,Diesel,Manual,15.1
5542,Hyundai Grand i10 Sportz,648000,365000,2014,6,Dealer,28000,First Owner,Petrol,Manual,18.9
5543,Maruti Baleno Zeta 1.2,668000,532000,2016,4,Dealer,31600,First Owner,Petrol,Manual,21.4
5544,Tata Nexon 1.5 Revotorq XZ Plus,1016000,650000,2017,3,Individual,90000,First Owner,Diesel,Manual,21.5
5545,Ford Endeavour 2.2 Trend MT 4X2,3575000,2089999,2016,4,Dealer,64000,First Owner,Diesel,Manual,13.5
5546,Renault KWID RXL,343000,265000,2017,3,Trustmark Dealer,30254,First Owner,Petrol,Manual,25.17
5547,Toyota Camry Hybrid,4500000,1995000,2016,4,Dealer,86000,First Owner,Petrol,Automatic,19.16
5548,Toyota Fortuner 4x2 4 Speed AT,3997000,1475000,2014,6,Dealer,80002,First Owner,Diesel,Automatic,11.5
5549,Hyundai Verna SX Opt AT Diesel,1309000,445000,2013,7,Dealer,52000,First Owner,Diesel,Automatic,21.3
5550,Honda City i VTEC SV,1268000,610000,2015,5,Dealer,54000,First Owner,Petrol,Manual,17.8
5551,Mercedes-Benz E-Class E350 CDI Avantgarde,7545000,1275000,2012,8,Dealer,55000,First Owner,Diesel,Automatic,11.5
5552,Honda City i-VTEC CVT ZX,1268000,1207000,2019,1,Individual,25000,First Owner,Petrol,Automatic,18
5553,Honda City i VTEC CVT VX,1268000,835000,2016,4,Dealer,26000,First Owner,Petrol,Automatic,18
5554,Hyundai i20 Magna 1.2,802999,400000,2014,6,Individual,110000,First Owner,Petrol,Manual,18.6
5555,Honda City S,1268000,301000,2011,9,Dealer,65962,First Owner,Petrol,Manual,16.8
5556,Honda City i VTEC V,1268000,680000,2016,4,Dealer,88000,First Owner,Petrol,Manual,17.4
5557,Hyundai Verna 1.6 CRDI,1219000,350000,2012,8,Dealer,64100,First Owner,Diesel,Manual,22.32
5558,Maruti Swift Dzire VXI,653000,335000,2012,8,Dealer,65000,First Owner,Petrol,Manual,19.1
5559,Hyundai i20 1.4 CRDi Sportz,974000,300000,2012,8,Individual,100000,First Owner,Diesel,Manual,23
5560,Mercedes-Benz C-Class C 220 CDI Sport Edition,5130000,1490000,2014,6,Dealer,6800,First Owner,Diesel,Automatic,14.84
5561,Hyundai i20 Asta,770000,265000,2011,9,Dealer,60000,First Owner,Petrol,Manual,17
5562,Honda Civic 1.8 S AT,2035000,150000,2006,14,Individual,120000,First Owner,Petrol,Automatic,12.9
5563,BMW 5 Series 520d Sedan,7320000,1500000,2013,7,Dealer,60000,First Owner,Diesel,Automatic,18.48
5564,Maruti Baleno Zeta Automatic,668000,635000,2016,4,Dealer,60000,First Owner,Petrol,Automatic,21.4
5565,BMW 5 Series 520i Luxury Line,6545000,3100000,2017,3,Dealer,36000,First Owner,Petrol,Automatic,14.04
5566,Honda Amaze S AT i-Vtech,704000,474000,2016,4,Dealer,40000,First Owner,Petrol,Automatic,15.5
5567,Hyundai Venue SX Opt Diesel BSIV,978999,1090000,2019,1,Dealer,31000,First Owner,Diesel,Manual,23.7
5568,Maruti Ertiga VXI ABS,861999,524000,2014,6,Dealer,19000,First Owner,Petrol,Manual,16.02
5569,Maruti Celerio Green VXI,645000,475000,2017,3,Dealer,40000,First Owner,CNG,Manual,31.79
5570,Hyundai Verna VTVT 1.6 SX,1054000,880000,2017,3,Dealer,43000,First Owner,Petrol,Manual,17
5571,Maruti Celerio ZXI AT Optional,497000,466000,2016,4,Dealer,2000,First Owner,Petrol,Automatic,23.1
5572,Hyundai i20 1.4 CRDi Asta,974000,530000,2015,5,Dealer,52900,First Owner,Diesel,Manual,23
5573,Hyundai i20 2015-2017 Magna 1.2,770000,450000,2017,3,Individual,40000,First Owner,Petrol,Manual,18.6
5574,Ford Ecosport 2015-2021 1.5 Diesel Trend Plus BSIV,1014000,700000,2017,3,Dealer,26100,First Owner,Diesel,Manual,23
5575,Honda Amaze S i-Dtech,877000,325000,2013,7,Dealer,58000,First Owner,Diesel,Manual,25.8
5576,Hyundai Tucson 2.0 e-VGT 2WD AT GL,2921000,1648999,2017,3,Dealer,62450,First Owner,Diesel,Automatic,16.38
5577,Hyundai i20 1.2 Asta,802999,660000,2017,3,Trustmark Dealer,17805,First Owner,Petrol,Manual,18.6
5578,Maruti Ciaz 1.4 Alpha,978999,725000,2017,3,Trustmark Dealer,66577,First Owner,Petrol,Manual,20.73
5579,Maruti Swift Dzire VXI 1.2 BS IV,653000,650000,2018,2,Dealer,36787,First Owner,Petrol,Manual,22
5580,Volkswagen Polo Petrol Highline 1.2L,694000,355000,2013,7,Dealer,56000,First Owner,Petrol,Manual,16.47
5581,Lexus ES 300h,6509000,4100000,2017,3,Dealer,33000,First Owner,Petrol,Automatic,22.37
5582,Honda Amaze EX i-Dtech,877000,300000,2013,7,Individual,67000,First Owner,Diesel,Manual,25.8
5583,Ford Ecosport 1.5 DV5 MT Titanium,1007000,475000,2013,7,Dealer,49217,First Owner,Diesel,Manual,22.7
5584,BMW X5 xDrive 30d,9042000,3200000,2014,6,Dealer,68000,First Owner,Diesel,Automatic,11.7
5585,Maruti Wagon R LXI CNG,597000,365000,2017,3,Dealer,56000,First Owner,CNG,Manual,26.6
5586,Maruti Baleno Zeta 1.2,669000,565000,2016,4,Trustmark Dealer,32145,First Owner,Petrol,Manual,21.4
5587,Toyota Innova Crysta 2016-2020 2.8 GX AT BSIV,1997000,1430000,2017,3,Dealer,65000,First Owner,Diesel,Automatic,11.36
5588,Ford Figo Diesel Titanium,896000,250000,2013,7,Dealer,57642,First Owner,Diesel,Manual,20
5589,Maruti Swift LXI Option,604000,434999,2017,3,Dealer,22400,First Owner,Petrol,Manual,20.4
5590,Honda City i VTEC SV,1268000,670000,2016,4,Dealer,51000,First Owner,Petrol,Manual,17.8
5591,Hyundai i20 2015-2017 Sportz 1.4 CRDi,974000,675000,2017,3,Dealer,34000,First Owner,Diesel,Manual,22.54
5592,Mahindra Scorpio 2009-2014 SLE 7S BSIV,1519000,430000,2012,8,Dealer,54000,First Owner,Diesel,Manual,12.05
5593,Maruti Swift Dzire LXI Option,656000,470000,2016,4,Dealer,39100,First Owner,Petrol,Manual,20.85
5594,Maruti Wagon R LXI CNG,598000,350000,2018,2,Individual,93000,First Owner,CNG,Manual,26.6
5595,Hyundai Creta 1.6 VTVT AT SX Plus,1127000,1150000,2017,3,Trustmark Dealer,9161,First Owner,Petrol,Automatic,13
5596,Hyundai Santro Sportz CNG BSIV,670000,500000,2018,2,Trustmark Dealer,31286,First Owner,CNG,Manual,30.48
5597,BMW 7 Series 740Li,16100000,1900000,2012,8,Dealer,70000,First Owner,Petrol,Automatic,8.45
5598,Maruti Wagon R AMT VXI Plus Option,512000,400000,2018,2,Individual,40000,First Owner,Petrol,Automatic,20.51
5599,Skoda Octavia Elegance 1.8 TSI AT,4151000,890000,2014,6,Dealer,38000,First Owner,Petrol,Automatic,14.7
5600,Mahindra Scorpio S11 BSIV,1521000,1250000,2017,3,Individual,60000,First Owner,Diesel,Manual,16.36
5601,Honda City i-VTEC CVT ZX,1268000,1350000,2019,1,Dealer,10000,First Owner,Petrol,Automatic,18
5602,Hyundai Grand i10 Asta Option,648000,465000,2017,3,Dealer,46000,First Owner,Petrol,Manual,18.9
5603,Honda Amaze V CVT Petrol BSIV,704000,575000,2016,4,Dealer,51000,First Owner,Petrol,Automatic,19
5604,Maruti Wagon R VXI,526000,325000,2014,6,Dealer,85000,First Owner,Petrol,Manual,21.79
5605,Maruti Ciaz VXi Plus,968000,525000,2015,5,Dealer,46000,First Owner,Petrol,Manual,20.73
5606,Toyota Innova Crysta 2016-2020 2.4 VX MT BSIV,1989999,1675000,2017,3,Dealer,56000,First Owner,Diesel,Manual,13.68
5607,Maruti Wagon R LXI BS IV,512000,270000,2013,7,Dealer,52000,First Owner,Petrol,Manual,18.9
5608,BMW 3 Series 320d Luxury Line,5061000,2050000,2015,5,Dealer,33000,First Owner,Diesel,Automatic,19.62
5609,BMW X5 xDrive 30d xLine,9042000,7984999,2019,1,Dealer,7000,First Owner,Diesel,Automatic,13.38
5610,Hyundai Elantra SX,2071000,575000,2013,7,Dealer,90000,First Owner,Petrol,Manual,16.3
5611,Maruti Baleno Sigma,668000,585000,2019,1,Dealer,9500,First Owner,Petrol,Manual,21.01
5612,Mercedes-AMG C 43,4762000,5100000,2017,3,Dealer,24000,First Owner,Petrol,Automatic,11.9
5613,BMW 3 Series 320d Corporate Edition,4928000,950000,2012,8,Individual,60000,First Owner,Diesel,Automatic,16.07
5614,Porsche Cayenne GTS,13700000,11100000,2017,3,Dealer,24000,First Owner,Petrol,Automatic,12.5
5615,Tata Nexon 1.2 Revotron XZA Plus,848000,910000,2018,2,Dealer,25000,First Owner,Petrol,Automatic,17
5616,Hyundai i20 1.2 Sportz,802999,259000,2011,9,Dealer,57000,First Owner,Petrol,Manual,17
5617,Toyota Innova Crysta 2016-2020 2.8 GX AT BSIV,1989999,1885000,2019,1,Dealer,22000,First Owner,Diesel,Automatic,11.36
5618,Honda City i VTEC S,1234000,400000,2012,8,Dealer,75000,First Owner,Petrol,Manual,17.4
5619,Hyundai Grand i10 Magna,671000,400000,2015,5,Dealer,44004,First Owner,Petrol,Manual,18.9
5620,Toyota Fortuner 3.0 Diesel,3747000,875000,2011,9,Dealer,185000,First Owner,Diesel,Manual,11.5
5621,Volkswagen Vento Petrol Trendline,1011999,365000,2013,7,Dealer,71000,First Owner,Petrol,Manual,15.04
5622,Maruti Swift Dzire VXI,653000,430000,2014,6,Dealer,66251,First Owner,Petrol,Manual,19.1
5623,Toyota Innova Crysta 2016-2020 2.4 GX MT BSIV,1989999,1800000,2019,1,Dealer,26000,First Owner,Diesel,Manual,13.68
5624,Honda Civic 1.8 S AT,2084000,265000,2009,11,Dealer,78000,First Owner,Petrol,Automatic,12.9
5625,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,1989999,1775000,2016,4,Dealer,58000,First Owner,Diesel,Automatic,11.36
5626,Honda WR-V i-VTEC VX,960000,785000,2017,3,Dealer,13420,First Owner,Petrol,Manual,17.5
5627,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,1989999,1995000,2018,2,Dealer,45000,First Owner,Diesel,Automatic,11.36
5628,Mahindra Scorpio S7 120,1519000,1250000,2018,2,Dealer,57645,First Owner,Diesel,Manual,16.36
5629,Hyundai i20 2015-2017 Asta 1.4 CRDi,974000,425000,2014,6,Dealer,64000,First Owner,Diesel,Manual,22.54
5630,Tata Harrier XZ BSIV,1711000,1595000,2019,1,Dealer,18000,First Owner,Diesel,Manual,17
5631,Honda Jazz 1.2 S i VTEC,851000,491000,2016,4,Dealer,32700,First Owner,Petrol,Manual,18.7
5632,Hyundai Verna SX CRDi AT,1309000,470000,2013,7,Dealer,83000,First Owner,Diesel,Automatic,19.08
5633,Volkswagen Polo Petrol Highline 1.2L,700000,440000,2013,7,Dealer,69000,First Owner,Petrol,Manual,16.47
5634,Honda Amaze S Petrol,706000,365000,2013,7,Dealer,38872,First Owner,Petrol,Manual,18.6
5635,Hyundai i20 Magna 1.2,802999,470000,2015,5,Dealer,52000,First Owner,Petrol,Manual,18.6
5636,Maruti Swift Dzire LXI Option,653000,450000,2015,5,Individual,44000,First Owner,Petrol,Manual,19.1
5637,Hyundai i20 1.4 Asta Option,960000,731000,2018,2,Individual,30000,First Owner,Diesel,Manual,22.54
5638,Hyundai i20 2015-2017 Sportz 1.2,802999,490000,2016,4,Dealer,55000,First Owner,Petrol,Manual,18.6
5639,Honda City i DTec V,1479000,450000,2014,6,Dealer,96434,First Owner,Diesel,Manual,26
5640,BMW X4 M Sport X xDrive20d,7366000,4950000,2019,1,Dealer,9500,First Owner,Diesel,Automatic,16.78
5641,Honda Civic 1.8 V AT,2084000,275000,2010,10,Individual,100000,First Owner,Petrol,Automatic,12.9
5642,Honda Amaze S AT i-Vtech,704000,425000,2013,7,Dealer,33456,First Owner,Petrol,Automatic,15.5
5643,Hyundai i20 1.2 Magna Executive,802999,545000,2017,3,Dealer,42000,First Owner,Petrol,Manual,18.6
5644,Tata Tiago 1.2 Revotron XZA,569000,475000,2018,2,Individual,28000,First Owner,Petrol,Automatic,23.84
5645,Maruti Wagon R LXI CNG,597000,250000,2013,7,Dealer,63000,First Owner,CNG,Manual,26.6
5646,Hyundai Creta SX Diesel,1263000,1075000,2018,2,Dealer,40000,First Owner,Diesel,Manual,21.4
5647,Maruti Celerio Green VXI,624000,375000,2016,4,Dealer,69000,First Owner,CNG,Manual,31.79
5648,Maruti Celerio ZXI AT,512000,480000,2019,1,Dealer,35000,First Owner,Petrol,Automatic,23.1
